tic_id,sector_run
452958485,61-61
293166952,5-5
277301964,12-12
224601129,60-60
140692247,7-7
19933299,72-72
259273558,76-76
88571421,31-31
30933383,28-28
309434176,39-39
177310473,35-35
248387630,70-70
117378874,45-45
230124233,52-52
158561566,14-14
238899811,8-8
178969584,5-5
2334836,43-43
229707810,20-20
165859044,47-47
142875987,31-31
253302516,38-38
294649449,51-51
402980664,26-26
309791561,28-28
35882116,34-34
160423353,14-14
9779230,26-26
372911993,34-34
148622555,21-21
349152140,27-27
201792346,2-2
349373467,8-8
38907305,5-5
149394317,66-66
149422364,33-33
130158363,71-71
167697655,63-63
150393302,37-37
179441174,2-2
232609546,76-76
91481801,44-44
149601557,33-33
219738222,50-50
55664730,66-66
262609754,7-7
448912100,11-11
179308939,29-29
48422243,55-55
219893086,49-49
